EXPOSITORES CONSTRUCTENIA 2026 - UBICACIÓN STAND,,
EMPRESA,AREA EXTERIOR ,STAND N° 
MODERNIA S.A,,Stands (86-87-88)
JOHNSON CONTROLS BE,,Stand (89)
Metalúrgica Vera SRL,,Stand (91-95-96)
"CHINA WIN EXPO CO.,LTD",,Stands (93-121-126-92)
Ferreventas S.A - FERREX,,Stands (94-98)
CECATEC - Centro de Capacitación Técnica,,Stand (97) 
KIMS S.A. (MP Energia Propia) (Goodwe),,Stands (99-103) 
TECNOMAS SRL,,Stand (100-101)
INVERFIN S.A.E.C.A. (Tecnoservice),,Stand (102) 
MENEGOTTI MAQUINAS E EQUIPAMENTOS LTDA,, Stand (104) 
Grossl Jader Maciel (Grossl Paraguay),,Stand (105-106)
JAMES PARAGUAY S.A.,,Stands (107-108-109-110-111-112-113-114-115-116)
DYCK S.A,,Stands (117-118-119-120-122-127) 
SEGURIDAD INTELIGENCIA Y TECNOLOGIA DEL PARAGUAY SA (SIT PARAGUAY),,Stand (123-124)
ZANAC COMERCIO E INDUSTRIA DE CONCRETOS LTDA (Celucom),, Stand (125)
LINCOLN S.A,,Stand (128-129)
ISOPANEL S.A,,Stand (130)
Grupo Schusmuller - INDUSTRIA METALURGICA SCHUSSMULLER,,Stand (131-132)
TECNOBUSINESS S.A.,,Stand (133)
Tingazu SA,,Stand (134)
COMAGRO S.A.,,Stand (135-140)
DISTRIBUIDORA LAZZU S.A,,Stand (136)
COPACONS,,Stand (137)
FABRIPAR S.A,,Stand (138)
FINNEGANS SA,,Stand (139)
BRITAM S.A.,,Stand (141-142-143-144)
JLM IMPORT EXPORT S.A,,Stand (145-150) 
Aquapool EAS,,Stand (146-151)
PIROY S.A.  - GRUPO LUMINOTECNIA,, Stand (148-149-153-154)
CAMARA DE EMPRESAS CONSTRUCTORAS DE OBRAS ELECTROMECANICAS - CECOEL,, Stand (155-156-157-158-159-160-161-162)
BENITO ROGGIO E HIJOS S.A.,,PABELLON CECOEL
CIE SA,,PABELLON CECOEL
TRAFOPAR,,PABELLON CECOEL
ELEKTRON,,PABELLON CECOEL
DIPRO PY,,PABELLON CECOEL
TIE S.A.,,PABELLON CECOEL
TECNO ELECTRIC,,PABELLON CECOEL
OLAM SRL,,Stand (163)
COOPERATIVA UNIVERSITARIA LTDA,,Stand (164)
ITSSMAR,,Stand (165)
Lisual,,Stand (166)
QUIMAFLEX S.R.L,,Stand (167) 
PLAUD AI E.A.S.,,Stand (168)
LICENCIAS ORIGINALES SAS,,Stand (169)
NORDIC LOOK GLOBAL CORP (Nexacore),,Stand (170) 
SOCIEDAD DE ENSEÑANZA SUPERIOR SOCIEDAD ANONIMA – UNIDA,,Stand (171)
Syopar,,Stand (172-173)
Aseguradora Tajy,,Stand (174)
Condu Pro Comercio de Produtos Eletricos LTDA,,Stand (175)
Jaboneria Luna SRL (Luna Clor),,Stand (177-176)
MICROPY INDUSTRIA Y COMERCIO E.A.S.,,Stand (178) 
TU CASA CONSTRUCTORA S.A.,,Stand (179)
ZR Distribuidora E.A.S.,,Stand (180-181)
Casa de las Piscinas S.A,,Stand (182)
Sistema Integrados en Control Ltda. (Unysof),,Stand (183)
 TOPOGRAFIAS DEL PARAGUAY S.A.,,Stand (184)
GreenWay,,Stand (185)
Impacto,,Stand (186-187-188) 
POLAR PARAGUAY S.A.,,Stand (189)
ALPHALEDS,,Stand (190)
GRUPO GCI-TEC SAS,,Stand (191) 
AMANECER S.A,,2 Espacio Stand (192-193) de 3x3
SANTA CLARA S.A MEDICINA PREPAGA,,Stand (194)
Cauce S.A. - Famossul,,Stand (195)
,,
MADEK DECO & HOGAR S.A. (MADEKSA) ,,Stand (A-1)
GARELLI ESTRUCTURAS,,Stands (A-2 - A-3)
STEELCON S.A.,,Stands (A-04 - A-05)
Grupo Sensormatic S.A. (Keeper),,Stand (A-6) 
AREA EXTERIOR,,
Tehmco Paraguay SA,Espacio EXTERIOR (Nº E-06 - E-7),AREA EXTERIOR
JPRM E.A.S (Impacta PUBLICITARIA),STAND (Nº E-08),
GRUAS MAGNO S.A.,STAND (Nº E-11),
LUME INGENIERIA SA,AREA EXTERIOR Stand E 13,
CHACOMER AUTOMOTORES S.A.,STAND (Nº E-14),
DISTRIBUIDORA JASY S.A,STAND (Nº A-21) ,
MULTITAINER S.A,STAND (Nº E-17 - E-22),
